first_name,second_name,team,element_type,total_points
David,Ospina,1,1,19
Petr,Cech,1,1,124
Damian Emiliano,Martinez,1,1,0
Laurent,Koscielny,1,2,100
Per,Mertesacker,1,2,16
Gabriel Armando,de Abreu,1,2,0
Héctor,Bellerín,1,2,132
Carl,Jenkinson,1,2,0
Nacho,Monreal,1,2,130
Rob,Holding,1,2,27
Shkodran,Mustafi,1,2,109
Sead,Kolasinac,1,2,108
Mesut,Özil,1,3,112
Santiago,Cazorla,1,3,0
Aaron,Ramsey,1,3,130
Francis,Coquelin,1,3,7
Alex,Iwobi,1,3,89
Mohamed,Elneny,1,3,22
Granit,Xhaka,1,3,109
Jack,Wilshere,1,3,46
Danny,Welbeck,1,4,70
Lucas,Pérez,1,4,0
Alexandre,Lacazette,1,4,138
Henrikh,Mkhitaryan,1,3,107
Calum,Chambers,1,2,23
Reiss,Nelson,1,3,5
Ainsley,Maitland-Niles,1,3,25
Matt,Macey,1,1,0
Edward,Nketiah,1,4,3
Mathieu,Debuchy,1,2,0
Konstantinos,Mavropanos,1,2,4
Pierre-Emerick,Aubameyang,1,4,87
Joseph,Willock,1,3,3
Jordi,Osei-Tutu,1,2,0
Asmir,Begovic,2,1,112
Artur,Boruc,2,1,0
Adam,Federici,2,1,0
Simon,Francis,2,2,56
Steve,Cook,2,2,83
Charlie,Daniels,2,2,94
Adam,Smith,2,2,56
Tyrone,Mings,2,2,3
Bradley,Smith,2,2,0
Nathan,Aké,2,2,102
Harry,Arter,2,3,27
Marc,Pugh,2,3,32
Andrew,Surman,2,3,82
Junior,Stanislas,2,3,75
Dan,Gosling,2,3,59
Max,Gradel,2,3,0
Jordon,Ibe,2,3,85
Lewis,Cook,2,3,58
Ryan,Fraser,2,3,97
Callum,Wilson,2,4,102
Benik,Afobe,2,4,24
Lys,Mousset,2,4,36
Joshua,King,2,4,110
Jermain,Defoe,2,4,60
Aaron,Ramsdale,2,1,0
Jack,Simpson,2,2,1
Emerson,Hyndman,2,3,1
Connor,Mahoney,2,3,0
Matt,Butcher,2,3,0
Kyle,Taylor,2,3,0
Niki,Mäenpää,3,1,0
Mathew,Ryan,3,1,146
Lewis,Dunk,3,2,97
Shane,Duffy,3,2,100
Uwe,Hünemeier,3,2,1
Bruno,Saltor Grau,3,2,84
Gaëtan,Bong,3,2,63
Liam,Rosenior,3,2,3
Connor,Goldson,3,2,6
Anthony,Knockaert,3,3,88
Dale,Stephens,3,3,87
Beram,Kayal,3,3,25
Steve,Sidwell,3,3,0
Solomon,March,3,3,74
Jiri,Skalak,3,3,0
Oliver,Norwood,3,3,0
Jamie,Murphy,3,3,6
Pascal,Groß,3,3,164
Glenn,Murray,3,4,111
Tomer,Hemed,3,4,43
Sam,Baldock,3,4,2
Leonardo,Ulloa,3,4,20
Markus,Suttner,3,2,38
Isaiah,Brown,3,3,16
Davy,Pröpper,3,3,87
José Heriberto,Izquierdo Mena,3,3,101
Ezequiel,Schelotto,3,2,20
Tim,Krul,3,1,0
Jayson,Molumby,3,3,0
Jürgen,Locadia,3,4,16
Tom,Heaton,4,1,8
Paul,Robinson,4,1,0
Matthew,Lowton,4,2,89
Ben,Mee,4,2,90
Stephen,Ward,4,2,102
James,Tarkowski,4,2,101
Kevin,Long,4,2,57
Charlie,Taylor,4,2,23
Scott,Arfield,4,3,56
Dean,Marney,4,3,0
Johann Berg,Gudmundsson,4,3,117
Steven,Defour,4,3,62
Jeff,Hendrick,4,3,85
Robbie,Brady,4,3,56
Ashley,Westwood,4,3,35
Jonathan,Walters,4,3,3
Jack,Cork,4,3,100
Sam,Vokes,4,4,63
Ashley,Barnes,4,4,92
Aaron,Lennon,4,3,65
Nahki,Wells,4,4,9
Phil,Bardsley,4,2,33
Georges-Kévin,Nkoudou,4,3,11
Nick,Pope,4,1,152
Chris,Wood,4,4,104
Adam,Legzdins,4,1,0
Anders,Lindegaard,4,1,0
Fredrik,Ulvestad,4,3,0
Aiden,O'Neill,4,3,0
Dwight,McNeil,4,4,1
Olivier,Giroud,5,4,77
Thibaut,Courtois,5,1,136
Eduardo,dos Reis Carvalho,5,1,0
Willy,Caballero,5,1,11
César,Azpilicueta,5,2,175
Gary,Cahill,5,2,74
Marcos,Alonso,5,2,165
David,Luiz Moreira Marinho,5,2,32
Victor,Moses,5,2,131
Antonio,Rüdiger,5,2,115
Eden,Hazard,5,3,173
Cesc,Fàbregas,5,3,89
Willian,Borges Da Silva,5,3,130
Pedro,Rodríguez Ledesma,5,3,81
N'Golo,Kanté,5,3,101
Michy,Batshuayi,5,4,25
Diego,Da Silva Costa,5,4,0
Ross,Barkley,5,3,3
Kasey,Palmer,5,3,4
Daniel,Drinkwater,5,3,24
Tiemoué,Bakayoko,5,3,77
Andreas,Christensen,5,2,79
Charly,Musonda,5,3,6
Álvaro,Morata,5,4,122
Fikayo,Tomori,5,2,0
Kyle,Scott,5,3,0
Jeremie,Boga,5,3,1
Davide,Zappacosta,5,2,58
Ethan,Ampadu,5,3,1
Callum,Hudson-Odoi,5,3,2
Dujon,Sterling,5,2,0
Emerson,Palmieri dos Santos,5,2,14
Trevoh,Chalobah,5,2,0
Ruben,Loftus-Cheek,6,3,77
Wayne,Hennessey,6,1,99
