first_name,second_name,team,element_type,now_cost
Shkodran,Mustafi,1,2,55
Héctor,Bellerín,1,2,55
Sead,Kolasinac,1,2,55
Ainsley,Maitland-Niles,1,2,50
Sokratis,Papastathopoulos,1,2,50
Nacho,Monreal,1,2,50
Laurent,Koscielny,1,2,50
Konstantinos,Mavropanos,1,2,45
Carl,Jenkinson,1,2,45
Rob,Holding,1,2,45
Pierre-Emerick,Aubameyang,1,4,110
Alexandre,Lacazette,1,4,95
Edward,Nketiah,1,4,45
Bernd,Leno,1,1,50
Mesut,Özil,1,3,75
Henrikh,Mkhitaryan,1,3,70
Alex,Iwobi,1,3,60
Granit,Xhaka,1,3,55
Lucas,Torreira,1,3,50
Mohamed,Elneny,1,3,45
Matteo,Guendouzi,1,3,45
Emiliano,Martínez,1,1,45
Ahmed,El Mohamady,2,2,45
James,Chester,2,2,45
Neil,Taylor,2,2,45
Kortney,Hause,2,2,45
Jonathan,Kodjia,2,4,55
Ørjan,Nyland,2,1,45
Conor,Hourihane,2,3,60
Jack,Grealish,2,3,60
Anwar,El Ghazi,2,3,55
John,McGinn,2,3,55
Andre,Green,2,3,50
Birkir,Bjarnason,2,3,45
Keinan,Davis,2,3,45
Henri,Lansbury,2,3,45
José Ignacio,Peleteiro Romallo,2,3,60
Matt,Targett,2,2,45
Wesley,Moraes,2,4,60
Jed,Steer,2,1,45
Tyrone,Mings,2,2,45
Ezri,Konsa Ngoyo,2,2,45
Bjorn,Engels,2,2,45
Steve,Cook,3,2,50
Nathan,Aké,3,2,50
Charlie,Daniels,3,2,45
Chris,Mepham,3,2,45
Simon,Francis,3,2,45
Adam,Smith,3,2,45
Lloyd,Kelly,3,2,45
Diego,Rico,3,2,40
Jack,Simpson,3,2,40
Callum,Wilson,3,4,80
Joshua,King,3,4,65
Dominic,Solanke,3,4,55
Lys,Mousset,3,4,50
Sam,Surridge,3,4,45
Asmir,Begovic,3,1,45
Artur,Boruc,3,1,45
Mark,Travers,3,1,45
Ryan,Fraser,3,3,75
David,Brooks,3,3,65
Junior,Stanislas,3,3,60
Jordon,Ibe,3,3,50
Lewis,Cook,3,3,50
Andrew,Surman,3,3,50
Dan,Gosling,3,3,50
Jefferson,Lerma,3,3,50
Jack,Stacey,3,2,45
Shane,Duffy,4,2,50
Martín,Montoya,4,2,45
Bernardo,Fernandes da Silva Junior,4,2,45
Leon,Balogun,4,2,45
Gaëtan,Bong,4,2,45
Lewis,Dunk,4,2,45
Matthew,Clarke,4,2,45
Glenn,Murray,4,4,60
Jürgen,Locadia,4,4,55
Florin,Andone,4,4,50
Mathew,Ryan,4,1,45
David,Button,4,1,40
Pascal,Groß,4,3,65
Alireza,Jahanbakhsh,4,3,60
José Heriberto,Izquierdo Mena,4,3,55
Anthony,Knockaert,4,3,55
Yves,Bissouma,4,3,50
Davy,Pröpper,4,3,50
Solomon,March,4,3,50
Beram,Kayal,4,3,45
Dale,Stephens,4,3,45
Leandro,Trossard,4,3,60
Ben,Mee,5,2,50
James,Tarkowski,5,2,50
Matthew,Lowton,5,2,45
Phil,Bardsley,5,2,45
Charlie,Taylor,5,2,45
Kevin,Long,5,2,45
Ben,Gibson,5,2,40
Ashley,Barnes,5,4,65
Chris,Wood,5,4,65
Matej,Vydra,5,4,55
Nick,Pope,5,1,45
Tom,Heaton,5,1,45
Joe,Hart,5,1,45
Johann Berg,Gudmundsson,5,3,60
Dwight,McNeil,5,3,60
Robbie,Brady,5,3,55
Steven,Defour,5,3,55
Jeff,Hendrick,5,3,55
Ashley,Westwood,5,3,55
Jack,Cork,5,3,50
Aaron,Lennon,5,3,50
Erik,Pieters,5,2,45
Jay,Rodriguez,5,4,60
Marcos,Alonso,6,2,65
Antonio,Rüdiger,6,2,60
César,Azpilicueta,6,2,60
David,Luiz Moreira Marinho,6,2,60
Emerson,Palmieri dos Santos,6,2,55
Andreas,Christensen,6,2,50
Davide,Zappacosta,6,2,45
Olivier,Giroud,6,4,70
